classifier_name,dataset_name,accuracy,,,,,
5,BirdChicken,0.9,,,,,
5,Car,0.936666667,,,,,
5,CricketX,0.833589744,,,,,
5,CricketY,0.851538462,,,,,
5,CricketZ,0.856923077,,,,,
5,DistalPhalanxTW,0.712230216,,,,,
5,ECG5000,0.946777778,,,,,
5,FiftyWords,0.851428571,,,,,
5,Fish,0.984,,,,,
5,FordA,0.957045455,,,,,
5,FordB,0.923703704,,,,,
5,Haptics,0.562337662,,,,,
5,Herring,0.6328125,,,,,
5,InsectWingbeatSound,0.66979798,,,,,
5,ItalyPowerDemand,0.960835763,,,,,
5,LargeKitchenAppliances,0.935466667,,,,,
5,Lightning7,0.795890411,,,,,
5,Meat,0.986666667,,,,,
5,MedicalImages,0.826447368,,,,,
5,MiddlePhalanxOutlineAgeGroup,0.712987013,,,,,
5,MiddlePhalanxOutlineCorrect,0.849140893,,,,,
5,OliveOil,0.92,,,,,
5,OSULeaf,0.972727273,,,,,
5,Phoneme,0.34414557,,,,,
5,Plane,1,,,,,
5,ProximalPhalanxOutlineCorrect,0.905154639,,,,,
5,ProximalPhalanxTW,0.814634146,,,,,
5,ScreenType,0.681333333,,,,,
5,ShapeletSim,1,,,,,
5,Strawberry,0.979459459,,,,,
5,SwedishLeaf,0.97664,,,,,
5,SyntheticControl,0.996666667,,,,,
5,ToeSegmentation1,0.94254386,,,,,
5,Trace,1,,,,,
5,UWaveGestureLibraryY,0.81281407,,,,,
5,Wafer,0.999870214,,,,,
5,WordSynonyms,0.788557994,,,,,
5,Worms,0.762337662,,,,,
5,Yoga,0.952033333,,,,,
6(default),Beef,0.793333333,,,,,
6(default),BirdChicken,0.895,,,,,
6(default),Car,0.928333333,,,,,
6(default),CricketX,0.831282051,,,,,
6(default),CricketY,0.856153846,,,,,
6(default),CricketZ,0.860512821,,,,,
6(default),DistalPhalanxTW,0.710071942,,,,,
6(default),ECG5000,0.947066667,,,,,
6(default),FiftyWords,0.846593407,,,,,
6(default),Fish,0.985714286,,,,,
6(default),FordA,0.95969697,,,,,
6(default),FordB,0.927654321,,,,,
6(default),Haptics,0.562662338,,,,,
6(default),Herring,0.65,,,,,
6(default),InsectWingbeatSound,0.670252525,,,,,
6(default),ItalyPowerDemand,0.959961127,,,,,
6(default),LargeKitchenAppliances,0.940266667,,,,,
6(default),Lightning7,0.801369863,,,,,
6(default),Meat,0.983333333,,,,,
6(default),MedicalImages,0.821315789,,,,,
6(default),MiddlePhalanxOutlineAgeGroup,0.70974026,,,,,
6(default),MiddlePhalanxOutlineCorrect,0.849484536,,,,,
6(default),OliveOil,0.906666667,,,,,
6(default),OSULeaf,0.974793388,,,,,
6(default),Phoneme,0.344778481,,,,,
6(default),Plane,1,,,,,
6(default),ProximalPhalanxOutlineCorrect,0.902061856,,,,,
6(default),ProximalPhalanxTW,0.815609756,,,,,
6(default),ScreenType,0.688,,,,,
6(default),ShapeletSim,1,,,,,
6(default),Strawberry,0.978378378,,,,,
6(default),SwedishLeaf,0.97424,,,,,
6(default),SyntheticControl,0.996666667,,,,,
6(default),ToeSegmentation1,0.946929825,,,,,
6(default),Trace,1,,,,,
6(default),UWaveGestureLibraryY,0.810608599,,,,,
6(default),Wafer,0.999918884,,,,,
6(default),WordSynonyms,0.789968652,,,,,
6(default),Worms,0.757142857,,,,,
6(default),Yoga,0.951766667,,,,,
7,Beef,0.79,,,,,
7,BirdChicken,0.895,,,,,
7,Car,0.921666667,,,,,
7,CricketX,0.82974359,,,,,
7,CricketY,0.856153846,,,,,
7,CricketZ,0.857948718,,,,,
7,DistalPhalanxTW,0.71294964,,,,,
7,ECG5000,0.947222222,,,,,
7,FiftyWords,0.846153846,,,,,
7,Fish,0.983428571,,,,,
7,FordA,0.957575758,,,,,
7,FordB,0.925802469,,,,,
7,Haptics,0.556818182,,,,,
7,Herring,0.64375,,,,,
7,InsectWingbeatSound,0.674646465,,,,,
7,ItalyPowerDemand,0.960641399,,,,,
7,LargeKitchenAppliances,0.944,,,,,
7,Lightning7,0.797260274,,,,,
7,Meat,0.985,,,,,
7,MedicalImages,0.817763158,,,,,
7,MiddlePhalanxOutlineAgeGroup,0.711038961,,,,,
7,MiddlePhalanxOutlineCorrect,0.84604811,,,,,
7,OliveOil,0.91,,,,,
7,OSULeaf,0.973140496,,,,,
7,Phoneme,0.33871308,,,,,
7,Plane,1,,,,,
7,ProximalPhalanxOutlineCorrect,0.908247423,,,,,
7,ProximalPhalanxTW,0.812195122,,,,,
7,ScreenType,0.687466667,,,,,
7,ShapeletSim,0.999444444,,,,,
7,Strawberry,0.979189189,,,,,
7,SwedishLeaf,0.9736,,,,,
7,SyntheticControl,0.996,,,,,
7,ToeSegmentation1,0.947368421,,,,,
7,Trace,1,,,,,
7,UWaveGestureLibraryY,0.809408152,,,,,
7,Wafer,0.99995133,,,,,
7,WordSynonyms,0.784012539,,,,,
7,Worms,0.763636364,,,,,
7,Yoga,0.9482,,,,,
8,Beef,0.793333333,,,,,
8,BirdChicken,0.9,,,,,
8,Car,0.92,,,,,
8,CricketX,0.826153846,,,,,
8,CricketY,0.852564103,,,,,
8,CricketZ,0.858974359,,,,,
8,DistalPhalanxTW,0.70647482,,,,,
8,ECG5000,0.947422222,,,,,
8,FiftyWords,0.845934066,,,,,
8,Fish,0.981714286,,,,,
8,FordA,0.954318182,,,,,
8,FordB,0.927407407,,,,,
8,Haptics,0.555194805,,,,,
8,Herring,0.6359375,,,,,
8,InsectWingbeatSound,0.673636364,,,,,
8,ItalyPowerDemand,0.960835763,,,,,
