classifier_name,dataset_name,accuracy
KG-MTP100k,ProximalPhalanxTW,0.814146341
KG-MTP100k,ScreenType,0.681866667
KG-MTP100k,ShapeletSim,1
KG-MTP100k,Strawberry,0.979459459
KG-MTP100k,SwedishLeaf,0.976
KG-MTP100k,SyntheticControl,0.996333333
KG-MTP100k,ToeSegmentation1,0.941666667
KG-MTP100k,Trace,1
KG-MTP100k,UWaveGestureLibraryY,0.814237856
KG-MTP100k,Wafer,0.999870214
KG-MTP100k,WordSynonyms,0.79169279
KG-MTP100k,Worms,0.762337662
KG-MTP100k,Yoga,0.952433333
KG-MTP30k,Beef,0.783333333
KG-MTP30k,BirdChicken,0.9
KG-MTP30k,Car,0.926666667
KG-MTP30k,CricketX,0.830769231
KG-MTP30k,CricketY,0.850512821
KG-MTP30k,CricketZ,0.861794872
KG-MTP30k,DistalPhalanxTW,0.707913669
KG-MTP30k,ECG5000,0.947311111
KG-MTP30k,FiftyWords,0.845054945
KG-MTP30k,Fish,0.983428571
KG-MTP30k,FordA,0.956515152
KG-MTP30k,FordB,0.923209877
KG-MTP30k,Haptics,0.560064935
KG-MTP30k,Herring,0.6359375
KG-MTP30k,InsectWingbeatSound,0.671565657
KG-MTP30k,ItalyPowerDemand,0.959961127
KG-MTP30k,LargeKitchenAppliances,0.940533333
KG-MTP30k,Lightning7,0.802739726
KG-MTP30k,Meat,0.986666667
KG-MTP30k,MedicalImages,0.818684211
KG-MTP30k,MiddlePhalanxOutlineAgeGroup,0.715584416
KG-MTP30k,MiddlePhalanxOutlineCorrect,0.845360825
KG-MTP30k,OliveOil,0.906666667
KG-MTP30k,OSULeaf,0.974793388
KG-MTP30k,Phoneme,0.33771097
KG-MTP30k,Plane,1
KG-MTP30k,ProximalPhalanxOutlineCorrect,0.900343643
KG-MTP30k,ProximalPhalanxTW,0.813170732
KG-MTP30k,ScreenType,0.6816
KG-MTP30k,ShapeletSim,1
KG-MTP30k,Strawberry,0.977837838
KG-MTP30k,SwedishLeaf,0.97328
KG-MTP30k,SyntheticControl,0.996333333
KG-MTP30k,ToeSegmentation1,0.946491228
KG-MTP30k,Trace,1
KG-MTP30k,UWaveGestureLibraryY,0.809463987
KG-MTP30k,Wafer,0.999967554
KG-MTP30k,WordSynonyms,0.788087774
KG-MTP30k,Worms,0.750649351
KG-MTP30k,Yoga,0.9499
KG-MTP10k,Beef,0.796666667
KG-MTP10k,BirdChicken,0.895
KG-MTP10k,Car,0.931666667
KG-MTP10k,CricketX,0.816410256
KG-MTP10k,CricketY,0.844102564
KG-MTP10k,CricketZ,0.851538462
KG-MTP10k,DistalPhalanxTW,0.698561151
KG-MTP10k,ECG5000,0.946711111
KG-MTP10k,FiftyWords,0.834065934
KG-MTP10k,Fish,0.982285714
KG-MTP10k,FordA,0.954090909
KG-MTP10k,FordB,0.921604938
KG-MTP10k,Haptics,0.552272727
KG-MTP10k,Herring,0.6390625
KG-MTP10k,InsectWingbeatSound,0.669747475
KG-MTP10k,ItalyPowerDemand,0.959961127
KG-MTP10k,LargeKitchenAppliances,0.942666667
KG-MTP10k,Lightning7,0.789041096
KG-MTP10k,Meat,0.983333333
KG-MTP10k,MedicalImages,0.812105263
KG-MTP10k,MiddlePhalanxOutlineAgeGroup,0.712987013
KG-MTP10k,MiddlePhalanxOutlineCorrect,0.837457045
KG-MTP10k,OliveOil,0.9
KG-MTP10k,OSULeaf,0.978512397
KG-MTP10k,Phoneme,0.338132911
KG-MTP10k,Plane,1
KG-MTP10k,ProximalPhalanxOutlineCorrect,0.903092784
KG-MTP10k,ProximalPhalanxTW,0.813170732
KG-MTP10k,ScreenType,0.6856
KG-MTP10k,ShapeletSim,0.998333333
KG-MTP10k,Strawberry,0.977297297
KG-MTP10k,SwedishLeaf,0.97248
KG-MTP10k,SyntheticControl,0.996
KG-MTP10k,ToeSegmentation1,0.946929825
KG-MTP10k,Trace,1
KG-MTP10k,UWaveGestureLibraryY,0.807984366
KG-MTP10k,Wafer,0.999983777
KG-MTP10k,WordSynonyms,0.769122257
KG-MTP10k,Worms,0.746753247
KG-MTP10k,Yoga,0.9455
